1
4
176
8 1
22
1
16 0
6.800000000000007 6.800000000000007
73 8 168 12 0
71 2 124 12 0
70 1 126 12 0
70 1 142 12 0
70 1 158 12 0
70 2 166 12 0
69 2 28 12 0
69 2 92 12 0
68 2 30 12 0
68 2 94 12 0
68 10 112 12 0
68 1 123 12 0
68 14 128 12 0
68 1 143 12 0
68 5 152 12 0
68 1 159 12 0
67 9 32 12 0
67 1 43 12 0
67 2 44 12 0
67 10 96 12 0
67 1 107 12 0
67 2 108 12 0
67 2 110 12 0
66 1 3 12 0
66 1 18 12 0
66 11 48 12 0
66 1 67 12 0
66 1 82 12 0
66 1 127 12 0
66 1 144 12 0
66 2 145 12 0
66 2 148 12 0
66 2 160 12 0
66 1 162 12 0
66 2 164 12 0
65 1 59 12 0
64 11 5 12 0
64 3 20 12 0
64 11 69 12 0
64 3 84 12 0
63 2 46 12 0
63 2 60 12 0
63 1 147 12 0
63 2 150 12 0
63 1 163 12 0
62 1 19 12 0
62 1 83 12 0
62 1 87 12 0
61 1 24 12 0
61 1 26 12 0
61 1 27 12 0
61 1 88 12 0
61 1 90 12 0
61 1 91 12 0
60 2 62 12 0
59 3 0 12 0
59 3 64 12 0
58 9 32 0 0
57 2 28 0 0
57 2 30 0 0
56 3 0 0 0
52 1 3 0 0
52 11 5 0 0
52 1 24 0 0
52 1 26 0 0
52 1 27 0 0
52 2 30 0 0
51 9 32 0 0
50 1 18 0 0
49 2 28 0 0
47 3 0 0 0
47 3 20 0 0
45 1 19 0 0
45 1 24 0 0
45 1 26 0 0
45 1 27 0 0
44 3 20 0 0
43 11 5 0 0
42 1 3 0 0
42 1 18 0 0
42 1 19 0 0
40 3 0 0 0
40 3 20 0 0
38 3 20 0 0
36 1 3 0 0
36 11 5 0 0
35 1 18 0 0
35 1 19 0 0
